Commodity,Top Performer,Top Margin (%),U.S. Total Margin (%),Bottom Performer,Bottom Margin (%),Survey Periods
Barley,Fruitful Rim,-21.56,N/A,Heartland,-66.32,3
Corn,Heartland,-4.67,N/A,Southern Seaboard,-22.64,6
Cotton,Eastern Uplands,-7.41,N/A,Prairie Gateway,-53.65,5
Hogs,Southern Seaboard,5.00,N/A,Mississippi Portal,-105.33,5
Milk,Basin and Range,6.25,N/A,Eastern Uplands,-44.23,5
Oats,Northern Great Plains,-41.29,N/A,Prairie Gateway,-61.69,3
Peanut,"Southern Seaboard (VA, NC, SC)",-5.34,N/A,Fruitful Rim,-25.99,4
Rice,California,-2.96,N/A,Gulf Coast,-12.88,4
Sorghum,Fruitful Rim,-41.81,N/A,Eastern Uplands,-104.18,4
Soybean,Heartland,4.43,N/A,Mississippi Portal,-19.17,6
Wheat,Northern Crescent,-4.58,N/A,Southern Seaboard,-118.91,5
